,1,2,5,10,20,30,40,50,60,70,80,90,100,,,,,,,,,,,,,
,1,2,5,10,20,30,40,50,60,70,80,90,100,1,2,5,10,20,30,40,50,60,70,80,90,100
41,53.1646421,28.11926103,13.52409911,5.608074188,3.450347185,3.019977093,3.197293997,2.773023844,2.734037161,2.79685688,3.176003933,2.657867193,2.547127008,,,,,,,,,,,,,
42,54.44335794,28.54699397,14.52740693,5.728190184,3.496829033,3.03707099,3.271453857,2.777493954,2.769644976,2.84987402,3.197005987,2.673395157,2.575794935,,,,,,,,,,,,,
43,55.7107861,29.87825894,14.53370905,6.021460056,3.50565505,3.136135101,3.277864933,2.788177013,2.78631711,2.947933912,3.214176893,2.737222195,2.679988861,,,,,,,,,,,,,
44,57.59913397,30.10024905,14.69728994,6.023994207,3.521946192,3.222665071,3.305866957,2.888953924,2.831212997,2.95863986,3.220141888,2.748228073,2.682134867,,,,,,,,,,,,,
45,59.26830006,31.72769713,15.32860804,6.092831135,3.589434147,3.308578968,3.315324783,2.931404829,2.873633146,3.054066896,3.236418009,2.784273148,2.703992844,,,,,,,,,,,,,
46,60.40253496,32.92709017,15.80032706,6.282640219,3.666004181,3.326047182,3.355995893,2.995602846,2.891620159,3.065700054,3.255100012,2.80263114,2.773525953,,,,,,,,,,,,,
47,62.19755793,33.02602696,16.10119796,6.422687054,3.684386015,3.381474972,3.359476805,3.036511898,2.966741085,3.092401981,3.263422012,2.803264141,2.846895933,,,,,,,,,,,,,
48,63.70151496,33.92305017,16.13303113,6.70510006,3.695394993,3.397696972,3.361093998,3.052606821,2.969229937,3.161609888,3.2845819,2.830597162,2.883000851,,,,,,,,,,,,,
49,64.70149708,35.38571715,16.34875703,6.78018713,3.852823973,3.478163004,3.389108896,3.05724597,2.980078936,3.204068899,3.340833902,2.843182087,2.903025866,,,,,,,,,,,,,
50,65.96161008,35.39942408,16.9355731,6.871566057,3.853662014,3.558248997,3.39187479,3.073520899,3.025284052,3.252219915,3.346874952,2.869523048,2.954362869,,,,,,,,,,,,,
51,67.32252693,36.69976711,17.72020006,6.88461709,3.916068077,3.630699158,3.418945789,3.127394915,3.202733994,3.304164886,3.388448954,2.89816618,2.963241816,,,,,,,,,,,,,
52,68.69714904,36.737391,17.82460999,6.886861086,3.997394085,3.631046057,3.471839905,3.150332928,3.28513813,3.327306986,3.413409948,2.967151165,3.100905895,,,,,,,,,,,,,
53,69.95336914,37.83762503,18.0796361,6.981713057,4.055703163,3.677525997,3.483819008,3.164722919,3.319988966,3.41849494,3.495887041,3.008394003,3.147520781,,,,,,,,,,,,,
54,71.05527806,38.26225615,18.156111,7.434353113,4.13933897,3.706156969,3.499053001,3.275053024,3.421632051,3.465224028,3.587188005,3.033482075,3.16490984,,,,,,,,,,,,,
55,72.26844907,39.24107313,18.91308594,7.486715078,4.181396961,3.77336812,3.504873991,3.29183197,3.447176933,3.517428875,3.630769014,3.048609972,3.188962936,,,,,,,,,,,,,
56,73.26328611,40.09108305,18.99485612,7.635099173,4.318792105,3.778912067,3.602374792,3.314489841,3.478678942,3.517505884,3.642458916,3.086091042,3.218729973,,,,,,,,,,,,,
57,74.29909301,41.02351213,19.643749,7.660367012,4.366229057,3.849919081,3.722723961,3.319900036,3.489130974,3.545271873,3.682179928,3.111643076,3.221391916,,,,,,,,,,,,,
58,75.6027441,41.66566014,19.80106115,7.668031216,4.388206005,3.870898008,3.766933918,3.323071957,3.494786978,3.621191978,3.688457966,3.151843071,3.232736826,,,,,,,,,,,,,
59,76.88179302,42.60018706,19.87377214,7.761605024,4.39392519,3.878051043,3.847338915,3.352737904,3.501136065,3.663070917,3.695805073,3.237516165,3.23354578,,,,,,,,,,,,,
60,77.92854095,43.10717607,20.44000101,7.858333111,4.519755125,3.896836042,3.938804865,3.37242794,3.524806976,3.686724901,3.837496996,3.264461994,3.264483929,,,,,,,,,,,,,
61,78.94669509,43.51860714,20.46925402,7.950510025,4.577542067,3.938822985,4.144810915,3.383102894,3.552207947,3.708095074,3.869524002,3.268674135,3.316183805,,,,,,,,,,,,,
62,79.93459201,44.91005397,21.11800909,8.019436121,4.633826017,3.950824976,4.270087957,3.414209843,3.569144011,3.709976912,3.869878054,3.277269125,3.329252005,,,,,,,,,,,,,
