5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
,21,6,5,"645,079,680,000,000.00",256.1660134,10.28591198,38.777625,4.383607404,212.6156674,666.224427,21125.7812,20930.14994,16906.26236,2972.727353,3883.395002,4807.688297,6652.8,5398.915799,3871.610079,76.78271553,,4439.634314
,21,6,5,"645,079,680,000,000.00",236.471951,10.29610568,24.83668705,3.477082913,207.728541,624.673294,22732.65587,22552.50843,18564.24425,3054.273215,3604.035441,4378.311263,6652.8,5398.915799,3871.610079,78.88896745,,4439.634314
,21,6,5,"645,079,680,000,000.00",246.9050148,13.03635315,23.50727693,3.370109833,219.6034886,683.38616,22883.36706,22688.4139,18640.69225,2893.07651,3582.446971,4360.355216,6652.8,5398.915799,3871.610079,74.72541013,,4439.634314
,21,6,5,"645,079,680,000,000.00",238.0116523,10.46334429,22.96037709,3.377306438,211.2611171,704.252899,22742.28788,22552.83171,18510.74488,3005.424981,3603.983781,4390.965366,6652.8,5398.915799,3871.610079,77.6272641,,4439.634314
,21,6,5,"645,079,680,000,000.00",241.8060465,10.28968781,22.77121428,3.47617285,215.1332478,734.310496,22687.64142,22495.74238,18439.75553,2950.832028,3613.129912,4407.8697,6652.8,5398.915799,3871.610079,76.21718013,76.84830747,4439.634314
,34,6,5,"1,044,414,720,000,000.00",274.8196912,17.0133963,63.10033063,5.388502593,205.6761893,1028.927053,35504.76027,35189.17011,28641.11765,4948.31566,6054.720876,7438.976562,10771.2,8741.101769,6268.321081,78.94164317,,7187.979366
,34,6,5,"1,044,414,720,000,000.00",246.4527437,19.14752972,27.04128667,5.290613197,213.4410374,1067.873844,36692.21866,36390.32555,29892.38548,4774.867821,5854.869382,7127.587828,10771.2,8741.101769,6268.321081,76.17458901,,7187.979366
,34,6,5,"1,044,414,720,000,000.00",244.7527287,16.81160634,24.79278009,5.276417164,213.9878623,1008.200865,36936.6266,36638.37048,30210.29111,4763.268885,5815.231412,7052.583575,10771.2,8741.101769,6268.321081,75.98954846,,7187.979366
,34,6,5,"1,044,414,720,000,000.00",253.4173709,16.7499398,30.84707964,5.98566415,215.9121949,1044.976635,36641.3515,36342.40716,29798.71594,4706.736354,5862.589176,7149.992749,10771.2,8741.101769,6268.321081,75.08767169,,7187.979366
,34,6,5,"1,044,414,720,000,000.00",241.4479879,16.855232,26.93905768,5.282278848,208.5162084,1062.611362,36722.19807,36420.56804,29956.98688,4885.042609,5850.007684,7112.217385,10771.2,8741.101769,6268.321081,77.93223331,76.82513713,7187.979366
