,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Jetstream Speed,Theoretical,,No Autoscaler,5 trials/test,,Autoscaler Speed
Node=Actor(s),Workers/Node,Msg/Worker,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Calc Time,Hashes,Hashrate,HASHRATE,JS Hashrate Script,Ideal Hashrate,Percentage,% Average,hashes/msg:,Average Worktime = sum(in script worktimes)/len(in script worktimes),HASHRATE
34,6,6,220.4498443,16.97228717,27.0723453,6.807978707,212.9524903,1238.557664,32431.25333,32449.27644,3672000000,16656850.05,23084890.71,24909323.66,23097719.73,66.86994106,,,,10846332.21
34,6,6,237.878634,16.56758968,28.70183794,6.612324315,201.862688,1393.674188,32823.77484,32837.95627,3672000000,15436443.11,22811651.06,24909323.66,22821506.78,61.97054291,,,,10499978.63
34,6,6,222.0886204,16.57280411,22.5649252,6.497947929,192.3731965,1123.763225,32687.26076,32703.22445,3672000000,16533940.34,22905631.25,24909323.66,22916817.83,66.37651254,,,,10853296.04
34,6,6,227.8964658,17.18201841,23.09291381,6.712504903,197.3712855,1309.607149,32790.81722,32812.74709,3672000000,16112579.84,22829176.66,24909323.66,22844444.38,64.68493508,,,,10599705.74
34,6,6,227.7455772,16.79464812,26.73741473,6.614056942,193.7154402,1356.068793,32899.2363,32915.35952,3672000000,16123254.93,22758007.54,24909323.66,22769160.75,64.72779087,64.92594449,,,10412819.17
55,6,6,255.8229805,26.75000945,38.34005066,9.900346129,206.6089503,2275.945278,52231.67741,52260.53138,5940000000,23219180.66,37508229.41,40294494.16,37528949.81,57.62370552,,,,12579151.6
55,6,6,231.2627702,26.52136897,34.83152755,9.91009653,185.4128693,1985.420637,52688.43064,52721.76624,5940000000,25685068.09,37180089.74,40294494.16,37203613.32,63.74336898,,,,12444142.85
55,6,6,237.9039718,26.3546182,38.61111124,10.21070967,188.0221327,1993.186257,52631.92726,52662.34391,5940000000,24968057.3,37222042.44,40294494.16,37243553.52,61.96394276,,,,12517207.2
55,6,6,243.1447679,26.63925929,34.86306527,9.798752622,197.4120968,2124.760704,52812.71364,52843.94686,5940000000,24429890.28,37094125.56,40294494.16,37116062.87,60.62835826,,,,12492759.52
55,6,6,233.1804473,26.40152104,34.88531288,10.80246814,186.4720224,1893.56266,53074.82523,53107.46847,5940000000,25473833.97,36910062.87,40294494.16,36932764.1,63.21914322,61.43570375,,,12514307.31
89,6,6,264.8255212,42.57856691,52.98568609,16.14742276,193.6847316,3233.590238,85065.59562,85134.45624,9612000000,36295595.51,60290606.49,65203817.82,60339411.75,55.66483179,,,,12906971.01
89,6,6,253.2564457,42.39607591,52.97181481,16.83000464,181.6136118,3456.594024,84852.60355,84910.15238,9612000000,37953624.33,60449873.85,65203817.82,60490872.23,58.20767188,,,,12808064.45
89,6,6,257.8934914,42.41499599,52.91151104,16.54753673,186.676465,3406.805625,85039.35497,85094.54574,9612000000,37271200.4,60318883.61,65203817.82,60358030.72,57.1610707,,,,12880362.8
